Cardinals,13,Rams,34
Bears,24,Giants,16
Dolphins,14,Patriots,27
Cowboys,17,Eagles,07
Lions,40,Packers,00
Raiders,21,Bengals,31
Falcons,14,Saints,03
Colts,16,Chargers,14
Redskins,17,49ers,26
Chiefs,10,Vikings,27
Broncos,25,Bills,10
Oilers,19,Steelers,07
Jets,21,Browns,31
Rams,19,Bills,00
Raiders,27,Chargers,27
Dolphins,20,Oilers,10
Falcons,24,Packers,27
Jets,31,Patriots,21
Steelers,13,Broncos,16
Redskins,17,Cardinals,27
Bengals,03,Lions,38
Browns,31,49ers,34
Eagles,16,Bears,20
Saints,00,Vikings,26
Giants,10,Cowboys,28
Chiefs,44,Colts,24
Raiders,13,Dolphins,20
Steelers,07,Browns,15
Chiefs,13,Broncos,26
Jets,31,Bills,34
Redskins,33,Eagles,21
Chargers,10,Rams,37
49ers,20,Falcons,21
Oilers,20,Bengals,13
Colts,14,Patriots,06
Cowboys,07,Cardinals,20
Vikings,10,Packers,13
Giants,10,Saints,14
Bears,14,Lions,28
Dolphins,20,Jets,06
49ers,20,Rams,06
Bills,10,Steelers,23
Eagles,23,Giants,30
Saints,17,Cardinals,24
Bengals,27,Browns,30
Falcons,00,Cowboys,13
Vikings,24,Bears,00
Broncos,23,Raiders,35
Lions,10,Redskins,31
Colts,24,Oilers,20
Patriots,10,Chiefs,23
Packers,22,Chargers,20
Cowboys,13,Vikings,54
Rams,31,Packers,21
Colts,29,Jets,22
Saints,20,49ers,20
Dolphins,33,Bills,14
Chargers,20,Bears,07
Steelers,07,Oilers,03
Chiefs,27,Bengals,19
Giants,16,Patriots,00
Cardinals,35,Eagles,20
Falcons,10,Broncos,24
Lions,41,Browns,24
Redskins,20,Raiders,34
Patriots,03,Colts,27
Bills,10,Jets,06
Broncos,14,49ers,19
Cowboys,27,Chiefs,16
Bengals,00,Redskins,20
Lions,16,Bears,10
Steelers,14,Raiders,31
Eagles,17,Packers,30
Cardinals,17,Giants,35
Oilers,31,Chargers,31
Saints,14,Falcons,32
Browns,28,Dolphins,00
Rams,03,Vikings,13
Packers,10,49ers,26
Vikings,30,Lions,17
Redskins,19,Broncos,03
Chargers,27,Browns,10
Rams,30,Saints,17
Bears,23,Falcons,14
Raiders,17,Chiefs,17
Dolphins,00,Colts,35
Bills,45,Patriots,10
Oilers,00,Cardinals,44
Giants,22,Jets,10
Eagles,17,Cowboys,21
Bengals,10,Steelers,21
Browns,20,Raiders,23
Bengals,43,Bills,14
Broncos,21,Chargers,24
Cowboys,20,Giants,23
Oilers,09,Chiefs,24
Lions,17,Saints,19
Vikings,19,Redskins,10
Falcons,10,Rams,10
49ers,37,Bears,16
Dolphins,17,Eagles,24
Patriots,00,Cardinals,31
Jets,17,Steelers,21
Colts,13,Packers,10
Redskins,33,Giants,35
Falcons,13,Eagles,13
Jets,31,Rams,20
Chargers,16,Patriots,14
Saints,10,Dolphins,21
Chiefs,31,Steelers,14
Raiders,24,Broncos,19
49ers,30,Oilers,20
Bills,17,Colts,17
Browns,10,Bengals,14
Bears,19,Packers,20
Lions,20,Vikings,24
Cardinals,38,Cowboys,00
Patriots,03,Jets,17
Cowboys,45,Redskins,21
Packers,03,Vikings,10
Oilers,14,Browns,28
Colts,17,Dolphins,34
49ers,07,Lions,28
Rams,17,Falcons,07
Bills,13,Bears,31
Broncos,31,Saints,06
Cardinals,06,Chiefs,06
Steelers,07,Bengals,34
Chargers,17,Raiders,20
Giants,20,Eagles,23
Packers,03,Cowboys,16
Raiders,14,Lions,28
Patriots,14,Bills,10
Chargers,14,Chiefs,26
Eagles,14,Cardinals,23
Broncos,21,Oilers,31
Saints,06,Bengals,26
Vikings,10,Jets,20
Bears,20,Colts,21
Giants,27,Redskins,24
Browns,09,Steelers,28
Rams,30,49ers,13
Dolphins,20,Falcons,07
Bears,13,Vikings,16
Bills,06,Giants,20
Patriots,20,Dolphins,37
Bengals,17,Chargers,14
Packers,20,Steelers,12
Falcons,20,49ers,24
Saints,16,Rams,34
Eagles,10,Colts,29
Cardinals,03,Lions,16
Redskins,00,Cowboys,34
Broncos,00,Chiefs,16
Raiders,14,Jets,13
Browns,21,Oilers,10
Cowboys,06,Browns,02
Chiefs,06,Raiders,20
